#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_225	0	0	0.0001064	0.0001116	0.001875	0.002453	d:Bacteria,p:"Bacteroidetes"
ZOTU_226	0	0	0.001968	0.001841	0.0006772	0.0009273	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas
ZOTU_227	0	0	0.003297	0.002901	5.209e-05	8.974e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_228	0	0	0.0001595	0.0001674	0.001927	0.001944	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XII,g:Fusibacter,s:Fusibacter_paucivorans
ZOTU_229	0	0	5.318e-05	0.0001674	0.00349	0.0008675	d:Archaea,p:"Euryarchaeota",c:"Methanomicrobia",o:Methanomicrobiales,f:Methanocorpusculaceae,g:Methanocorpusculum
ZOTU_230	0	0	0.002499	0.002287	0	0	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae
ZOTU_231	0	0	0.0006382	0.003682	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter
ZOTU_232	0.001854	0.002299	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_233	0.001745	0.001929	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,s:Mycobacterium_hassiacum
ZOTU_234	0	0	0.002393	0.003849	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella
ZOTU_235	0.002145	0.002422	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_236	0.00229	0.002627	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_237	0.001309	0.001601	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptomycetaceae,g:Streptomyces
ZOTU_238	0	0	0.001914	0.001674	0.0002084	0.0001496	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae
ZOTU_239	0	0	0.002819	0.001729	5.209e-05	5.983e-05	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XII,g:Fusibacter,s:Fusibacter_tunisiensis
ZOTU_240	0	0	0.0006382	0.004574	0	2.991e-05	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Flavobacterium
ZOTU_241	0	0	0.0007977	0.003682	0	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter
ZOTU_242	3.635e-05	0	0.001968	0.002957	0.0001042	0.0001795	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae
ZOTU_243	0.001999	0.001355	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_244	0.001818	0.0009853	0	0	0	0	d:Bacteria
ZOTU_245	0.0001091	0.0001642	0.00218	0.003012	0.0001563	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_246	0	0	0.002499	0.001785	0	0	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Prolixibacteraceae,g:Mangrovibacterium,s:Mangrovibacterium_diazotrophicum
ZOTU_247	0.001927	0.001601	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptomycetaceae,g:Streptomyces
ZOTU_248	0.001709	0.001929	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales
ZOTU_249	0.00189	0.002012	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_250	0.001636	0.001806	0	0	0	0	d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales
ZOTU_251	0.0004726	0.0002053	0.001436	0.002455	5.209e-05	8.974e-05	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium_xenophagum
ZOTU_252	0.001272	0.002381	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
