#Name	TPM
TRINITY_g440_i1_1	4.076390
TRINITY_g441_i1_1	0.000000
TRINITY_g442_i1_1	0.000000
TRINITY_g443_i1_1	0.000000
TRINITY_g444_i1_1	0.000000
TRINITY_g445_i1_1	0.000000
TRINITY_g446_i1_1	0.000000
TRINITY_g447_i1_1	0.000000
TRINITY_g449_i1_1	0.000000
TRINITY_g450_i1_1	0.000000
TRINITY_g451_i1_1	0.000000
TRINITY_g452_i1_1	0.000000
TRINITY_g454_i1_1	9.346743
TRINITY_g455_i1_1	0.000000
TRINITY_g455_i1_2	0.000000
TRINITY_g456_i1_1	0.000000
TRINITY_g457_i1_1	0.000000
TRINITY_g458_i1_1	0.000000
TRINITY_g459_i1_1	0.000000
TRINITY_g460_i1_1	0.000000
TRINITY_g461_i1_1	0.000000
TRINITY_g462_i1_1	0.000000
TRINITY_g463_i1_1	0.000000
TRINITY_g464_i1_1	10.023299
TRINITY_g465_i1_1	0.000000
TRINITY_g466_i1_1	0.000000
TRINITY_g466_i1_2	0.000000
TRINITY_g467_i1_1	0.000000
TRINITY_g468_i1_1	0.000000
TRINITY_g469_i1_1	0.000000
TRINITY_g469_i1_2	0.000000
TRINITY_g470_i1_1	0.000000
TRINITY_g472_i1_1	0.000000
TRINITY_g473_i1_1	0.000000
TRINITY_g474_i1_1	0.000000
TRINITY_g475_i1_1	0.000000
TRINITY_g476_i1_1	11.702446
TRINITY_g477_i1_1	0.000000
TRINITY_g478_i1_1	0.000000
TRINITY_g479_i1_1	0.000000
TRINITY_g480_i1_1	0.000000
TRINITY_g481_i1_1	0.000000
TRINITY_g482_i1_1	0.000000
TRINITY_g483_i1_1	0.000000
TRINITY_g484_i1_1	0.000000
TRINITY_g484_i1_2	0.000000
TRINITY_g485_i1_1	2.129213
TRINITY_g485_i1_2	0.257565
TRINITY_g486_i1_1	0.000000
TRINITY_g486_i1_2	0.000000
TRINITY_g486_i1_3	0.000000
TRINITY_g487_i1_1	0.000000
TRINITY_g488_i1_1	0.000000
TRINITY_g488_i1_2	0.000000
TRINITY_g488_i1_3	0.000000
TRINITY_g488_i1_4	0.000000
TRINITY_g488_i1_5	0.000000
TRINITY_g488_i1_6	0.000000
TRINITY_g489_i1_1	0.000000
TRINITY_g490_i1_1	0.000000
TRINITY_g491_i1_1	0.000000
TRINITY_g492_i1_1	0.000000
TRINITY_g492_i1_2	0.000000
TRINITY_g492_i1_3	0.000000
TRINITY_g493_i1_1	0.000000
TRINITY_g494_i1_1	0.000000
TRINITY_g496_i1_1	0.000000
TRINITY_g497_i1_1	10.023299
TRINITY_g499_i1_1	0.000000
TRINITY_g500_i1_1	0.000000
TRINITY_g500_i1_2	0.000000
TRINITY_g501_i1_1	0.884221
TRINITY_g502_i1_1	0.000000
TRINITY_g503_i1_1	8.654588
TRINITY_g504_i1_1	0.000000
TRINITY_g505_i1_1	0.000000
TRINITY_g506_i1_1	0.000000
TRINITY_g506_i1_2	0.000000
TRINITY_g507_i1_1	0.000000
TRINITY_g508_i1_1	0.000000
TRINITY_g509_i1_1	0.000000
TRINITY_g510_i1_1	0.000000
TRINITY_g511_i1_1	0.000000
TRINITY_g512_i1_1	0.000000
TRINITY_g512_i1_2	5.487510
TRINITY_g512_i1_3	0.000000
TRINITY_g512_i1_4	0.790025
TRINITY_g512_i1_5	0.847897
TRINITY_g512_i1_6	0.000000
TRINITY_g513_i1_1	0.000000
TRINITY_g514_i1_1	10.023299
TRINITY_g515_i1_1	0.000000
TRINITY_g515_i1_2	0.000000
TRINITY_g516_i1_1	0.000000
TRINITY_g517_i1_1	0.000000
TRINITY_g518_i1_1	0.000000
TRINITY_g518_i1_2	0.000000
TRINITY_g519_i1_1	0.000000
TRINITY_g520_i1_1	0.000000
TRINITY_g521_i1_1	0.000000
TRINITY_g522_i1_1	0.000000
TRINITY_g523_i1_1	0.000000
TRINITY_g524_i1_1	0.000000
TRINITY_g525_i1_1	0.000000
TRINITY_g525_i1_2	0.000000
TRINITY_g526_i1_1	0.000000
TRINITY_g527_i1_1	0.000000
TRINITY_g528_i1_1	11.711683
TRINITY_g530_i1_1	0.000000
TRINITY_g530_i1_2	0.000000
TRINITY_g531_i1_1	0.000000
TRINITY_g531_i1_2	0.000000
TRINITY_g534_i1_1	0.000000
TRINITY_g535_i1_1	11.690432
TRINITY_g536_i1_1	6.877853
TRINITY_g537_i1_1	0.000000
TRINITY_g537_i1_2	0.000000
TRINITY_g538_i1_1	0.000000
TRINITY_g539_i1_1	11.574194
TRINITY_g540_i1_1	1.180565
TRINITY_g541_i1_1	0.000000
TRINITY_g542_i1_1	0.000000
TRINITY_g543_i1_1	11.472781
